Seed,Stride_n,Best_Delta,Best_Sigma,Best_RMSE
1000,4,0.1,6.0,0.2431643691152991
1002,2,0.1,6.0,0.24376238311442744
1000,1,0.1,6.0,0.24058089497904434
1001,5,0.1,6.0,0.250833331005716
1002,4,0.1,6.0,0.23792394731853828
1002,1,0.1,6.0,0.23779306148076743
1001,8,0.1,6.0,0.24564809460729645
1000,10,0.1,6.0,0.24123108367441684
1000,5,0.1,6.0,0.24396964697074272
1001,10,0.1,6.0,0.2510370448721215
1002,5,0.1,5.0,0.2466861036791537
1001,2,0.1,6.0,0.24818664972267604
1001,4,0.1,6.0,0.2446368805019032
1000,2,0.1,6.0,0.24335099136586616
1001,1,0.1,5.0,0.2516026675351918
1000,8,0.1,5.0,0.2538687056300163
1002,8,0.1,4.0,0.2543003185523842
1003,2,0.1,6.0,0.242160940442942
1003,1,0.1,5.0,0.25418028652325597
1003,4,0.1,6.0,0.24495003401723087
1003,5,0.1,6.0,0.24649728208798308
1004,4,0.1,5.0,0.2470344845229027
1002,10,0.1,6.0,0.24053967356213524
1003,10,0.1,5.0,0.24885734497078074
1005,1,0.1,5.0,0.25298757815441936
1003,8,0.1,6.0,0.2555805524009035
1004,1,0.1,5.0,0.24714527876631553
1005,2,0.1,6.0,0.24495435623981177
1004,2,0.1,5.0,0.24665402112842233
1004,5,0.1,6.0,0.2494398013464604
1004,8,0.1,6.0,0.24384930575118438
1004,10,0.1,6.0,0.2433994871140206
1005,8,0.1,6.0,0.24715088453576933
1005,4,0.1,5.0,0.252047246914767
1005,5,0.1,5.0,0.24958476857668715
1006,8,0.1,5.0,0.247198413092987
1006,4,0.1,5.0,0.24632468600333066
1005,10,0.1,5.0,0.25301761019949587
1006,5,0.1,5.0,0.2459237877779828
1006,1,0.1,5.0,0.24526629939740116
1006,10,0.1,5.0,0.24793100612206462
1007,2,0.1,6.0,0.25141661772041524
1007,1,0.1,6.0,0.2443695497177474
1006,2,0.1,6.0,0.2419667278669634
1007,4,0.1,6.0,0.24365799937980664
1007,5,0.1,5.0,0.24995387972491492
1007,8,0.1,5.0,0.2554016705330385
1007,10,0.1,6.0,0.2439371657316693
1008,1,0.1,4.0,0.25540190133388946
1008,4,0.1,6.0,0.24503837067149598
1008,2,0.1,6.0,0.24086020658741425
1008,5,0.1,4.0,0.25607257520785254
1009,4,0.1,6.0,0.2507834083868665
1008,8,0.1,4.0,0.2572653994770143
1009,2,0.1,6.0,0.24199888515609327
1008,10,0.1,6.0,0.24385161353498522
1009,5,0.1,6.0,0.24617091687120596
1009,1,0.1,6.0,0.243643078138559
1009,8,0.1,5.0,0.2599249994049489
1010,1,0.1,6.0,0.24595333880724196
1009,10,0.1,5.0,0.24997267206976667
1010,2,0.1,5.0,0.24637123035028607
1010,5,0.1,6.0,0.24708965459110185
1010,4,0.1,5.0,0.2494120501409924
1010,8,0.1,5.0,0.24632662497175492
1010,10,0.1,5.0,0.24687892333338707
1011,2,0.1,6.0,0.24350473322558286
1011,1,0.1,5.0,0.24880318885795213
1011,5,0.1,6.0,0.24244303950518256
1012,1,0.1,5.0,0.25223159775626314
1012,5,0.1,6.0,0.24518107473418216
1011,8,0.1,6.0,0.24349252332934102
1012,2,0.1,5.0,0.2541371014948854
1011,10,0.1,6.0,0.24072516594353538
1011,4,0.1,6.0,0.2439200384872641
1012,4,0.1,6.0,0.24565548110317623
1013,1,0.1,6.0,0.24785436670418823
1012,8,0.1,6.0,0.2475588258583033
1012,10,0.1,5.0,0.2503893449982505
1013,2,0.1,6.0,0.24802680231367832
1013,4,0.1,5.0,0.25386993847737005
1013,5,0.1,5.0,0.25270089401149165
1013,8,0.1,5.0,0.26253286104255463
1013,10,0.1,6.0,0.25223016638947526
1014,1,0.1,4.0,0.2613157245245777
1014,4,0.1,4.0,0.2626871251392875
1014,5,0.1,5.0,0.25295661360514526
1014,8,0.1,4.0,0.2632271423711846
1014,2,0.1,5.0,0.2538384151185165
1015,1,0.1,6.0,0.24365016547231916
1014,10,0.1,5.0,0.2535671750231012
1015,2,0.1,5.0,0.254522507562792
1015,8,0.1,6.0,0.24718198858231666
1015,4,0.1,6.0,0.24780033755656378
1015,5,0.1,5.0,0.24890545923910043
1015,10,0.1,6.0,0.248814411487493
1016,1,0.1,5.0,0.2577137501162098
1016,2,0.1,6.0,0.24942196810431738
1016,4,0.1,6.0,0.250180755029914
1016,5,0.1,5.0,0.25273420483974196
1016,8,0.1,5.0,0.2602784577306256
1016,10,0.1,5.0,0.2551533463126918
1017,1,0.1,5.0,0.25471746408620694
1017,4,0.1,5.0,0.24716463631064894
1017,2,0.1,6.0,0.24003800412508833
1017,5,0.1,5.0,0.2527342885453033
1017,8,0.1,4.0,0.2562146483386296
1018,1,0.1,4.0,0.2566993945491304
1018,4,0.1,5.0,0.2466534947327144
1017,10,0.1,6.0,0.24650215686515592
1018,2,0.1,6.0,0.24415510234842622
1018,5,0.1,5.0,0.2463965552262446
1018,8,0.1,4.0,0.25563874560315913
1019,1,0.1,6.0,0.2404909332723947
1019,4,0.1,6.0,0.24092451720410077
1018,10,0.1,6.0,0.2425757101262429
1019,2,0.1,6.0,0.2419292721095752
1019,10,0.1,6.0,0.24585792398309708
1019,8,0.1,6.0,0.24608353185150325
1019,5,0.1,4.0,0.2545368728900913
1020,2,0.1,6.0,0.24657656302023884
1020,1,0.1,4.0,0.2566265753568368
1020,4,0.1,5.0,0.24822438266108954
1020,5,0.1,5.0,0.24482796636192558
1020,10,0.1,5.0,0.25549453361602165
1020,8,0.1,5.0,0.25434807248630215
1021,1,0.1,5.0,0.2513934343208216
1021,2,0.1,6.0,0.24142968428619346
1021,4,0.1,5.0,0.2524081678988401
1021,5,0.1,6.0,0.2512449078420812
1021,8,0.1,5.0,0.25512534149978094
1022,1,0.1,6.0,0.24356225276599097
1021,10,0.1,6.0,0.24503330748031735
1022,4,0.1,5.0,0.24870621621481628
1022,2,0.1,5.0,0.24681360689945234
1022,8,0.1,6.0,0.24320292141175873
1022,5,0.1,6.0,0.2474724776172106
1022,10,0.1,6.0,0.24417380267212876
1023,2,0.1,6.0,0.24467881420317103
1023,4,0.1,5.0,0.2501446997039901
1023,5,0.1,5.0,0.2533312263688958
1023,8,0.1,4.0,0.261734368496193
1023,1,0.1,5.0,0.25012892741280873
1023,10,0.1,6.0,0.2448768636841089
1024,1,0.1,6.0,0.2388687708978818
1024,2,0.1,5.0,0.246872984807424
1024,4,0.1,6.0,0.23834089571491093
1024,10,0.1,5.0,0.24967583883694283
1024,5,0.1,6.0,0.24347950654606573
1025,1,0.1,5.0,0.24944276357212286
1024,8,0.1,6.0,0.24017823884029177
1025,2,0.1,6.0,0.24799158195189794
1025,8,0.1,5.0,0.25674215526235905
1025,4,0.1,6.0,0.24734879210729707
1025,5,0.1,6.0,0.24392480462108335
1025,10,0.1,6.0,0.24573765628008434
1026,4,0.1,5.0,0.2524995400071492
1026,1,0.1,4.0,0.2584256551763139
1026,5,0.1,4.0,0.25851633606437785
1026,2,0.1,6.0,0.2482055159926029
1026,8,0.1,4.0,0.26175201761137334
1026,10,0.1,6.0,0.24424040482963594
1027,1,0.1,5.0,0.24510150106889833
1027,2,0.1,6.0,0.2394065001463963
1027,4,0.1,6.0,0.23815291750741946
1027,5,0.1,6.0,0.24103424680495475
1027,10,0.1,6.0,0.24302870821334255
1027,8,0.1,6.0,0.2397166494935468
1028,1,0.1,5.0,0.2577294856105962
1028,2,0.1,5.0,0.2522931010530713
1028,4,0.1,6.0,0.25020696228290923
1028,5,0.1,6.0,0.24851477603409197
1028,8,0.1,4.0,0.2623236273071606
1029,1,0.1,6.0,0.24448613199384825
1029,2,0.1,6.0,0.24479687420332838
1028,10,0.1,5.0,0.25912835839058435
1029,4,0.1,6.0,0.2398687653882856
1029,5,0.1,5.0,0.24940636703405542
1029,8,0.1,4.0,0.2565478674447818
1029,10,0.1,6.0,0.2437497093917821
